Location,1900s,2025,2100
"Montreal, Quebec, Canada",DHA1,DHA1,DHA2
"Moose Jaw, Saskatchewan, Canada",ESB2,ESA1,DSA2
"Moroni, Comoros",AHA2,AGA2,AGA2
"Moscow, Russia",DHB2,DGA1,DGA2
"Mount Pearl, Newfoundland and Labrador, Canada",DHB2,DHB2,CMA1
"Mumbai, India",AWA2,AWZ1,AWZ2
"Muscat, Oman",ADZ1,ADZ1,ADZ2
"N'Djamena, Chad",ADZ1,ADZ2,ZDX1
"Nagoya, Japan",CHA2,CHA2,CHZ1
"Nairobi, Kenya",BGB2,BSA1,ASA2
"Nashville–Davidson, Tennessee, United States",CHA2,CHA2,CGZ1
"Nassau, Bahamas",ASA2,ASA2,ASZ1
"Naypyidaw, Myanmar",AWZ1,AWZ1,AWZ2
"New Glasgow, Nova Scotia, Canada",DHB2,DHA1,CHA2
"New Orleans, Louisiana, United States",BHA2,BGA2,BGZ1
"New York, United States",DHA1,CHA2,CGZ1
"Ngerulmud, Palau",AHA2,AHA2,ZHZ1
"Niamey, Niger",ADZ1,ADZ2,ZDX1
"Nicosia, Cyprus",BDA2,BDA2,BDZ1
"Norman Wells, Northwest Territories, Canada",FB2,FGB2,ESA1
"North Lakes, Alaska, United States",DB1,DGB2,CGA1
"Nouakchott, Mauritania",ADA2,ADZ1,ADZ1
"Nouméa, New Caledonia",BSA2,BGA1,AGA2
"Novosibirsk, Russia",EGB2,EGA1,DSA2
"Nukuʻalofa, Tonga",AGA2,BGA1,AGA2
"Nuuk, Greenland",DC2,DC2,DHB1
"Oklahoma City, Oklahoma, United States",CGA2,CSZ1,BSZ2
"Olympia, Washington",CMB2,CMA1,BMA2
"Omsk, Russia",EGB2,ESA1,DSA2
"Oranjestad, Aruba",ADA2,ASA2,ADZ1
"Orlando, Florida, United States",BGA2,BGA2,ASZ1
"Osaka–Kobe–Kyoto, Japan",CHA2,CHA2,CGZ1
"Oslo, Norway",DHB2,DHB2,CHA1
"Ottawa, Canada",EHA1,DHA1,DGA2
"Ottawa, Ontario, Canada",EHA1,DHA1,DGA2
"Ouagadougou, Burkina Faso",AWZ1,ADZ1,ZDZ2
"Pago Pago, American Samoa",AHA2,AHA2,AHA2
"Palikir, Federated States of Micronesia",AHA2,AHA2,AHA2
"Palmer, Alaska, United States",EB1,DGB2,CGA1
"Panama City, Panama",AGA2,AHA2,ZGZ1
"Pangnirtung, Nunavut, Canada",FC1,FC1,EC2
"Papeete, French Polynesia",AHA1,AGA1,AGA2
"Paradise, Newfoundland and Labrador, Canada",DB1,DHB2,CMA1
"Paramaribo, Suriname",AGA2,AGA2,ZSZ1
"Paris, France",CGB2,CSA1,CMA2
"Philadelphia, Pennsylvania",DHA1,CGA2,CGZ1
"Philipsburg, Sint Maarten",ASA2,AGA2,ASZ
"Phnom Penh, Cambodia",ASA2,AGZ1,ZSZ2
"Phoenix, Arizona, United States",BDZ1,BDZ1,BDZ2
"Phungling, Nepal",BWA1,CWA1,BWA1
"Pierre, SD",DSA1,DSA2,CSZ1
"Pittsburgh, Pennsylvania, United States",DHA1,CHA1,CGZ1
"Podgorica, Montenegro",CMA2,CMA2,CMZ1
"Ponta Delgada, Azores",BMA1,BMA1,BMA2
"Port Louis, Mauritius",BHA2,AGA2,AGA2
"Port Moresby, Papua New Guinea",ASA2,AGA2,ZGZ1
"Port Vila, VaNunavut, Canadaatu",AHA2,AHA2,AHA2
"Port of Spain, Trinidad and Tobago",AGA2,AGA2,ASZ1
"Port-au-Prince, Haiti",ASA2,AGA2,ASZ1
"Portage la Prairie, Manitoba, Canada",EGB2,EGA1,DSA2
"Portland, Oregon, United States",CMB2,CMA1,BMA2
"Porto-Novo, Benin",ASA2,ASZ1,ZSZ1
"Prague, Czech Republic",DSB2,DSA1,CSA2
"Praia, Cabo Verde",ADA2,ADA2,ADZ1
"Prince Albert, Saskatchewan, Canada",EGB2,ESA1,DSA2
"Pristina, Kosovo",DGB2,CGA1,CSZ1
"Providence, Rhode Island, United States",DHA1,CHA2,CGZ1
"Prudhoe Bay, Alaska, United States",GB1,FWB1,DDA1
"Pyongyang, North Korea",DWA1,DWA2,CWZ1
"Qikiqtarjuaq, Nunavut, Canada",FC1,FC1,EHB1
"Quebec City, Quebec, Canada",DHB2,DHA1,DHA2
"Quito, Ecuador",BB1,BHB2,AGA1
"Rabat, Morocco",BMB2,BDA2,BDA2
"Raleigh, North Carolina, United States",CGA2,CGA2,CGZ1
"Rankin Inlet, Nunavut, Canada",GC2,FGB1,EGB2
"Red Deer, Alberta, Canada",EGB2,EGB2,DSA2
"Regina, Saskatchewan, Canada",ESB2,ESA1,DSA2
"Rexburg, Idaho, United States",DSB2,DSA1,CSA2
"Reykjavík, Iceland",CC2,CHB1,CHB1
"Richmond, British Columbia, Canada",CMB2,CMA1,BMA2
"Richmond, Virginia, United States",CHA2,CGA2,CGZ1
"Riga, Latvia",DGB2,DGB2,CGA1
"Rio de Janeiro, Brazil",AGA1,ASA2,ASZ1
"Riverside–San Bernardino, California, United States",BDA2,BDA2,BDZ1
"Riyadh, Saudi Arabia",BDZ1,BDZ2,ADX1
"Road Town, British Virgin Islands",ASA2,AGA2,ASZ1
"Rome, Italy",CMA1,CMA2,BMZ1
"Roseau, Dominica",AHA2,AHA1,AHA2
"Sacramento, California, United States",CMA1,CMA2,BDZ1
"Saint John, New Brunswick, Canada",DHB2,DHA1,CHA2
"Saint-Pierre, Saint-Pierre & Miquelon",DB1,DHB2,CMA2
"Saipan, Northern Mariana Islands",AGA2,AHA2,ZHZ1
"Salango Island, Ecuador",ADA1,ADA2,ADZ1
"Salem, Oregon, United States",CMB2,CMA1,BMA2
"Salt Lake City, Utah, United States",DSA1,CMA2,CMZ1
"San Antonio, Texas, United States",BSA2,BSZ1,BDZ2
"San Diego, California, United States",BDA1,BDA1,BDA2
"San Francisco–Oakland, California, United States",BMB2,BMA1,BMA2
"San Jose, California, United States",CMA1,BMA1,BMA2
"San José de la Joya, Mexico",BDA2,BDA1,BDZ1
"San José, Costa Rica",BHA1,AHA1,AHA2
"San Juan, Puerto Rico, United States",AGA2,AHA2,ASZ1
"San Marino, San Marino",CGA1,CGA1,CMA2
"San Salvador, El Salvador",AWA1,AWA2,ASZ1
"Sana'a, Yemen",BDB2,BSA1,BSA2
"Santa Fe, New Mexico, United States",DSA1,CSA1,CSA2
"Santiago, Chile",CMA1,BMA1,BDA2
"Santo Domingo, Dominican Republic",AGA2,ASA2,ASZ1
"Santo Domingo, Ecuador",AHA1,AHA2,AHA2
"Sarajevo, Bosnia and Herzegovina",DHB2,DHA1,CGA2
"Saskatoon, Saskatchewan, Canada",ESB2,ESA1,DSA2
"Seattle–Tacoma, Washington",CMB2,CMA1,BMA2
"Sedona, Arizona, United States",CSA1,CDA2,BDZ1
"Seoul–Incheon, South Korea",DWA2,DWA2,CWZ1
"Shanghai, China",CGA2,CGA2,CGZ1
"Sharistan, Afghanistan",EMB2,DDA1,CDZ1
"Sharmokhiya, Iraq",CDZ1,BDZ2,BDX1
"Shenyang, China",EWA2,DWA2,DWZ1
"Shenzhen, China",BWA2,BWA2,AWZ1
"Shoshoni, Wyoming, United States",DDA1,DDA1,CDA2
"Singapore, Singapore",AHA2,AHA2,ZGZ1
"Sitka, Alaska, United States",DB1,DHB1,CMB2
"Skopje, North Macedonia",CSA1,DGA1,CSZ1
"Sofia, Bulgaria",DGA1,DGA1,CSZ1
"Springfield, Illinois, United States",DGA1,DGA2,CGZ1
"Sri Jayawardenepura Kotte, Sri Lanka",AHA2,AGA2,ZGZ1
"St. Albert, Alberta, Canada",EGB2,EGB2,DSA2
"St. George's, Grenada",AGA2,ASA2,ASZ1
"St. John's, Antigua and Barbuda",ASA2,AHA2,ASZ1
"St. John's, Newfoundland and Labrador, Canada",DHB2,DHB2,CMA1
"St. Louis, Missouri, United States",DGA2,CGA2,CSZ1
"Stanley, Falkland Islands",CC2,CC2,CGB1
"Steele Creek, Alaska, United States",FB2,FSB2,DSA1
"Steinbach, Manitoba, Canada",EGB2,EGA1,DSA2
"Sterling, Alaska, United States",DB1,DHB2,CGA1
"Stockholm, Sweden",DGB2,DGB2,CSA1
"Sucre, Bolivia",BWB2,BWB2,BWA1
"Surrey, British Columbia, Canada",CMB2,CMA1,BMA2
"Suva, Fiji",AHA2,AHA2,AHA2
"Swift Current, Saskatchewan, Canada",ESB2,ESA1,DSA2
"São Paulo, Brazil",BHA1,BHA1,AGA2
"São Tomé, São Tomé and Príncipe",AGA1,AHA1,AHA2
"Taipei, Taiwan",BHA2,BHA2,BGZ1
"Tallahassee, Florida, United States",BHA2,BGA2,BGZ1
"Tallinn, Estonia",DHB2,DGB2,CGA1
"Tampa–St. Petersburg, Florida, United States",BGA2,BGA2,ASZ1
"Tanaina, Alaska, United States",DB1,DGB2,CGA1
"Tarawa, Kiribati",AGA2,AGA2,ZGZ1
"Tashkent, Uzbekistan",CMA2,CDA2,CDZ2
"Tbilisi, Georgia",CSA1,CSA2,CSZ1
"Tegucigalpa, Honduras",BSA1,BGA1,ASA2
"Tehran, Iran",CDA2,CDZ1,CDZ2
"Thimphu, Bhutan",CWB2,DWB1,CWB2
"Thompson, Manitoba, Canada",FB2,FGB2,EGA2
"Thunder Bay, Ontario, Canada",EHB2,EHB2,DGA2
"Tianjin, China",DWA2,DWA2,CWZ1
"Tirana, Albania",CMA1,CMA2,CMZ1
"Tokyo–Yokohama, Japan",CHA2,CHA2,CHZ1
"Topeka, Kansas, United States",DGA2,CGA2,CSZ1
"Toronto, Ontario, Canada",DGA1,DGA1,CGA2
"Trenton, New Jersey, United States",DHA1,CHA2,CGZ1
"Trincomalee, Sri Lanka",AMA2,AMA2,AMZ1
"Tripoli, Libya",BDA2,BDZ1,BDZ2
"Truro, Nova Scotia, Canada",DHB2,DHA1,CHA2
"Tuktoyaktuk, Northwest Territories, Canada",FB1,FSB1,ESB2
"Tunis, Tunisia",BMA2,BDA2,BDZ1
"Tórshavn, Faroe Islands",CB1,CMB1,CMB1
"Ulaanbaatar, Mongolia",FB2,FWB2,EWA2
"Ushmola, Kazakhstan",EDA1,DDA2,DDZ1
"Ushuaia, Argentina",CC2,CC2,CGB1
"Ust-Nera, Russia",YB1,YB1,GB2
"Utqiagvik, Alaska, United States",EY,FC2,DSB1
"Vaduz, Liechtenstein",DHB2,DHB2,CHA1
"Valletta, Malta",BMA2,BDA2,BDZ1
"Vancouver, British Columbia, Canada",CMB2,CMB2,CMA1
"Vatican City, Vatican City",CMA1,CMA2,BDZ1
"Verkhoyansk, Russia",YB2,YB2,GSA1
"Victoria, Seychelles",AHA2,AGA2,AGZ1
"Vienna, Austria",DGB2,CGA1,CSA2
"Vientiane, Laos",AWA2,AWZ1,AWZ1
"Vilnius, Lithuania",DHB2,DGB2,CSA2
"Virginia Beach, Virginia, United States",CGA1,CGA2,CGZ1
"Wainwright, Alaska, United States",FY,FC2,DSB2
"Warsaw, Poland",DGB2,DSA1,CSA2
"Washington DC, United States",CHA1,CGA2,CGZ1
"Wasilla, Alaska, United States",DB1,DGB2,CGA1
"Wellington, New Zealand",CHB2,CMB2,BHA1
"West Taijinar Lake, China",EC2,EDB1,DDB2
"Willemstad, Curaçao",ADA2,ADZ1,ZDZ1
"Windhoek, Namibia",BDA1,BDA2,ADZ1
"Winnipeg, Manitoba, Canada",EGB2,EGA1,DSA2
"Wuhan, China",CGA2,CGZ1,BGZ2
"Xi’an, China",CSA2,CWA2,CSZ1
"Yakima, Washington",DDA1,CDA1,CDZ1
"Yakutsk, Russia",YB2,GA1,FSA2
"Yamoussoukro, Côte d'Ivoire",ASA2,ASA2,ASZ1
"Yaoundé, Cameroon",AGA1,AGA2,AGZ1
"Yellowknife, Northwest Territories, Canada",FB2,FGB2,ESA1
"Yerevan, Armenia",DDA1,DSA2,CDZ1
"Zagreb, Croatia",DHA1,CHA1,CSZ1
"Zhengzhou, China",CWA2,CWA2,CWZ1
"Zhetikara, Kazakhstan",ESA1,ESA1,DDA2
